DATE,BALL_1,BALL_2,BALL_3,BALL_4,BALL_5,BALL_6,BONUS_BALL,MACHINE_NUMBER,MACHINE_NAME
28-Jul-2010,37,43,1,42,11,33,19,1,MERLIN
24-Jul-2010,35,24,43,33,26,44,27,3,MERLIN
21-Jul-2010,25,16,28,34,8,27,32,2,MERLIN
17-Jul-2010,43,15,32,44,28,45,20,1,MERLIN
14-Jul-2010,15,26,1,40,43,25,16,7,MERLIN
10-Jul-2010,38,3,30,31,47,5,37,8,MERLIN
07-Jul-2010,34,23,36,29,41,45,22,8,LANCELOT
03-Jul-2010,48,8,43,31,37,44,14,6,LANCELOT
30-Jun-2010,25,35,18,20,36,6,31,5,LANCELOT
26-Jun-2010,35,33,18,47,37,26,3,7,MERLIN
23-Jun-2010,9,17,27,13,22,5,30,6,LANCELOT
19-Jun-2010,42,47,41,39,37,34,45,7,MERLIN
16-Jun-2010,47,34,40,8,32,4,16,5,LANCELOT
12-Jun-2010,1,19,16,33,34,17,9,6,LANCELOT
09-Jun-2010,45,26,46,49,33,14,30,8,MERLIN
05-Jun-2010,23,24,22,5,29,26,31,5,MERLIN
02-Jun-2010,25,33,39,12,2,17,1,6,MERLIN
29-May-2010,17,48,2,39,42,36,41,7,MERLIN
26-May-2010,20,27,5,19,2,4,21,5,LANCELOT
22-May-2010,47,16,37,49,1,4,27,6,LANCELOT
19-May-2010,15,36,34,47,24,23,44,8,MERLIN
15-May-2010,4,48,26,24,27,1,28,7,MERLIN
12-May-2010,19,17,45,11,44,40,16,4,MERLIN
08-May-2010,26,48,46,28,32,1,10,5,ARTHUR
05-May-2010,3,8,47,10,36,6,2,1,ARTHUR
01-May-2010,30,29,28,6,47,15,19,3,GUINEVERE
28-Apr-2010,5,19,23,11,38,46,34,2,ARTHUR
24-Apr-2010,12,23,40,1,33,4,35,4,GUINEVERE
21-Apr-2010,2,45,16,33,19,10,30,1,ARTHUR
17-Apr-2010,44,29,3,10,36,31,45,3,ARTHUR
14-Apr-2010,23,2,6,8,46,44,37,2,GUINEVERE
10-Apr-2010,9,21,6,11,40,48,27,4,GUINEVERE
07-Apr-2010,11,8,20,47,33,43,49,1,GUINEVERE
03-Apr-2010,8,9,31,37,19,28,45,2,GUINEVERE
31-Mar-2010,29,18,38,44,14,43,13,3,GUINEVERE
27-Mar-2010,32,38,11,15,42,6,24,2,GUINEVERE
24-Mar-2010,3,49,28,5,23,42,41,4,GUINEVERE
20-Mar-2010,11,13,18,5,25,46,26,3,GUINEVERE
17-Mar-2010,16,30,42,34,41,37,5,1,GUINEVERE
13-Mar-2010,28,23,49,33,44,25,46,3,ARTHUR
10-Mar-2010,23,1,34,13,6,29,37,4,GUINEVERE
06-Mar-2010,28,13,6,27,34,42,43,2,GUINEVERE
03-Mar-2010,44,47,35,32,27,18,23,1,GUINEVERE
27-Feb-2010,45,17,7,44,42,14,47,6,GUINEVERE
24-Feb-2010,38,3,11,18,49,23,34,5,GUINEVERE
20-Feb-2010,31,27,34,36,8,24,19,8,ARTHUR
17-Feb-2010,3,38,49,22,27,31,45,6,GUINEVERE
13-Feb-2010,16,44,39,30,22,24,9,5,ARTHUR
10-Feb-2010,42,37,5,44,7,15,3,8,GUINEVERE
06-Feb-2010,22,12,3,29,17,15,5,7,GUINEVERE
03-Feb-2010,11,3,12,28,21,20,31,6,ARTHUR
30-Jan-2010,2,4,19,40,23,3,22,5,GUINEVERE
27-Jan-2010,27,13,1,4,7,11,12,2,ARTHUR
23-Jan-2010,16,19,7,3,8,30,9,4,GUINEVERE
20-Jan-2010,16,18,17,27,28,2,43,2,GUINEVERE
16-Jan-2010,14,42,10,27,7,4,25,3,GUINEVERE
13-Jan-2010,21,16,6,43,14,8,19,1,GUINEVERE
09-Jan-2010,24,33,34,48,37,20,25,4,GUINEVERE
06-Jan-2010,49,4,18,45,43,16,23,1,ARTHUR
02-Jan-2010,43,30,29,26,47,42,18,3,ARTHUR
30-Dec-2009,35,34,29,27,5,14,4,4,ARTHUR
26-Dec-2009,8,25,36,23,2,42,30,1,GUINEVERE
23-Dec-2009,18,15,32,36,37,26,22,3,ARTHUR
19-Dec-2009,1,28,20,33,40,45,35,2,ARTHUR
16-Dec-2009,20,44,35,2,34,40,49,3,ARTHUR
12-Dec-2009,13,23,39,45,3,22,4,3,GUINEVERE
09-Dec-2009,13,31,40,5,36,41,6,4,GUINEVERE
05-Dec-2009,20,43,45,8,49,36,12,2,GUINEVERE
02-Dec-2009,19,47,22,34,2,25,28,1,GUINEVERE
28-Nov-2009,4,36,47,3,30,27,8,4,ARTHUR
25-Nov-2009,23,29,17,11,3,6,44,1,ARTHUR
21-Nov-2009,36,40,32,9,24,30,35,2,ARTHUR
18-Nov-2009,4,18,19,13,12,1,38,4,TOPAZ
14-Nov-2009,20,5,9,1,39,23,38,2,TOPAZ
11-Nov-2009,6,38,4,48,12,31,29,3,TOPAZ
07-Nov-2009,39,19,45,21,44,49,47,1,TOPAZ
04-Nov-2009,49,23,42,39,1,2,5,4,SAPPHIRE
31-Oct-2009,12,44,40,35,26,18,49,2,TOPAZ
28-Oct-2009,41,24,25,38,34,43,11,1,SAPPHIRE
24-Oct-2009,5,38,32,31,12,9,3,8,SAPPHIRE
21-Oct-2009,12,19,33,16,6,44,20,7,TOPAZ
17-Oct-2009,32,27,11,37,43,25,3,6,TOPAZ
14-Oct-2009,11,42,32,35,24,5,20,7,TOPAZ
10-Oct-2009,45,43,17,40,37,36,34,5,SAPPHIRE
07-Oct-2009,43,27,26,45,28,46,5,8,AMETHYST
03-Oct-2009,21,14,36,46,32,23,17,8,TOPAZ
30-Sep-2009,28,41,2,36,15,10,8,8,SAPPHIRE
26-Sep-2009,3,17,43,32,5,40,29,5,AMETHYST
23-Sep-2009,23,28,25,46,47,41,27,6,TOPAZ
19-Sep-2009,20,18,33,43,31,45,1,8,TOPAZ
16-Sep-2009,34,44,23,48,46,18,6,7,SAPPHIRE
12-Sep-2009,18,24,20,43,30,44,47,5,SAPPHIRE
09-Sep-2009,23,35,11,28,39,2,15,6,SAPPHIRE
05-Sep-2009,36,41,22,12,19,26,39,7,AMETHYST
02-Sep-2009,28,7,4,2,27,35,21,5,TOPAZ
29-Aug-2009,9,18,39,34,47,37,5,6,SAPPHIRE
26-Aug-2009,17,48,27,3,11,9,6,8,AMETHYST
22-Aug-2009,36,18,44,43,24,23,21,7,TOPAZ
19-Aug-2009,23,41,45,26,10,30,49,5,AMETHYST
15-Aug-2009,47,46,16,32,48,31,34,6,AMETHYST
12-Aug-2009,27,9,21,39,20,40,14,7,TOPAZ
08-Aug-2009,32,26,9,33,17,36,6,5,TOPAZ
05-Aug-2009,16,32,18,44,39,1,33,6,AMETHYST